Vehicle,Origin,Manufacturer,Mass to LEO(kg),Mass to GTO(kg),Mass to Other(kg),Launches(+ suborbital),Date of First flight, Date of Latest flight,Retired,Image
Angara 1.2,Russia,Khrunichev,3800,,,0 (+1),2014,,no,data/rockets/Angara_1.2_A5.svg.png
Angara A5,Russia,Khrunichev,24500,"7,500 with KVTK  5,400 with Briz-M",,1,2014,2014,no,data/rockets/Angara_1.2_A5.svg.png
Antares 230,United States,Orbital ATK,6500,,"3,600 to SSO",1,2016,2016,no,data/rockets/250px-Antares_A-ONE_launch.2.jpg
Ariane 5 ECA,Europe,EADS Astrium,21000,10730,,61,2002,2017,no,data/rockets/Ariane_5ES_with_ATV_4_on_its_way_to_ELA-3.jpg
Ariane 5 ES,Europe,EADS Astrium,21000,8000,,6,2008,2016,no,data/rockets/Ariane_5ES_with_ATV_4_on_its_way_to_ELA-3.jpg
Ariane 6 A62,Europe,Airbus Safran Launchers,,5000,"7,000 to SSO",0,2020,,no,data/rockets/Ariane_62_and_64.svg.png
Ariane 6 A64,Europe,Airbus Safran Launchers,,10500,,0,,,no,data/rockets/Ariane_62_and_64.svg.png
Atlas V 401,United States,United Launch Alliance,9050,4950,"6,670 to SSO",34,2002,2017,no,data/rockets/270px-Atlas_V(401)_launches_with_LRO_and_LCROSS_cropped.jpg
Atlas V 411,United States,United Launch Alliance,9050,6075,"8,495 to SSO",4,2006,2016,no,data/rockets/270px-Atlas_V(401)_launches_with_LRO_and_LCROSS_cropped.jpg
Atlas V 421,United States,United Launch Alliance,9050,7000,"9,050 to SSO",6,2007,2016,no,data/rockets/270px-Atlas_V(401)_launches_with_LRO_and_LCROSS_cropped.jpg
Atlas V 431,United States,United Launch Alliance,9050,7800,"9,050 to SSO",3,2005,2016,no,data/rockets/270px-Atlas_V(401)_launches_with_LRO_and_LCROSS_cropped.jpg
Atlas V 501,United States,United Launch Alliance,8250,3970,"5,945 to SSO1,500 to GEO",6,2010,2015,no,data/rockets/270px-Atlas_V(401)_launches_with_LRO_and_LCROSS_cropped.jpg
Atlas V 511,United States,United Launch Alliance,10950,5370,"7,820 to SSO1,750 to GEO",0,,,no,data/rockets/270px-Atlas_V(401)_launches_with_LRO_and_LCROSS_cropped.jpg
Atlas V 521,United States,United Launch Alliance,13300,6485,"9,585 to SSO2,760 to GEO",2,2003,2004,no,data/rockets/270px-Atlas_V(401)_launches_with_LRO_and_LCROSS_cropped.jpg
Atlas V 531,United States,United Launch Alliance,15300,7425,"11,160 to SSO3,250 to GEO",3,2010,2013,no,data/rockets/270px-Atlas_V(401)_launches_with_LRO_and_LCROSS_cropped.jpg
Atlas V 541,United States,United Launch Alliance,17100,8240,"12,435 to SSO3,730 to GEO",4,2011,2016,no,data/rockets/270px-Atlas_V(401)_launches_with_LRO_and_LCROSS_cropped.jpg
Atlas V 551,United States,United Launch Alliance,18500,8700,"13,550 to SSO3,960 to GEO",7,2006,2016,no,data/rockets/270px-Atlas_V(401)_launches_with_LRO_and_LCROSS_cropped.jpg
Cyclone-4M,Ukraine,Yuzhnoye / Yuzhmash,5000,1000,,0,,,no,
Delta II 7420,United States,United Launch Alliance,3185,,"1,966 to SSO",13,1998,2010,no,data/rockets/270px-Delta_IV_Medium_Rocket_DSCS.jpg
Delta II 7920,United States,United Launch Alliance,5030,,"3,123 to SSO",28,1998,2011,no,
"Delta IV M+(4,2)",United States,United Launch Alliance,13140,6390,,14,2002,2016,no,data/rockets/270px-Delta_IV_Medium_Rocket_DSCS.jpg
"Delta IV M+(5,2)",United States,United Launch Alliance,11470,5490,,2,2012,2016,no,data/rockets/Delta_IV_launch_2013-08-28.jpg
